audio	sentence	gender_domain
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201007-015856_bem_798_elicit_48.wav	na koyikoyi nishi talamupelebesha	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200925-003120_bem_798_elicit_28.wav	nga twacita ici ninshi twalaba ukutila bushiku bumo lesa akatwipusha ukulondolola	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200929-221342_bem_fb0_elicit_20.wav	joni iyo mwe bafyashi ico nomba twalifumamo kano fye nishi uwangumamo ikofi wena kuti twashingwana nankwe	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200915-234914_bem_798_elicit_26.wav	eico ici citabo cilingile ukucisunga bwino	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201006-093742_bem_fb0_elicit_40.wav	eco kanshi nati kanje mbasokeko bekale abaiteyanya	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201006-025003_bem_798_elicit_7.wav	asuka koyikoyi ayawila mu cimukanda umo mwine emo no kulu kwaputukila	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200922-004748_bem_d31_elicit_9.wav	shili ishansansa akabungwe akapya nakaleta imibombele yakako mu musumba wesu kabili baletulaya insambu nge misepela na ukutukansha mu mibombele yalekana lekana	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201005-230705_bem_fb0_elicit_44.wav	cilumendo anina na pefwasa asosa na mashiwi yamwebele bawishi ati we malibu ya kuilombela we yampele tata ndefwaya wipaye inama shitatu	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201002-005539_bem_fb0_elicit_36.wav	lilya balenwa tii janet ashimikila umubiye tonse utwalengele ukuti afyuke ati no kuti	1
/scratch/skscla001/experiments/datasets/bemgen/audio/17-200916-192637_bem_346_elicit_0.wav	nomba kuti mwaya ikaala	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200921-163326_bem_d31_elicit_39.wav	ifishilano fimo tafyabipa lelo fimbi fyalibipa kabili filapusana nefyo cebo cakwa lesa cisosa	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-010158_bem_798_elicit_46.wav	kanshi baliishiba ukuti kwabo ni kwikoshi	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200925-003120_bem_798_elicit_11.wav	muli ifi fitabo imisepela yesu ileitwa kuli iyi mipepele ipya	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-180101-023953_bem_d31_elicit_40.wav	panuma ya kulanshanya no kwipukisha caishilesangwa ukuti chande pamo na balumendo bambi babili ebaibile umupeto wakwa bauleni	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201001-223110_bem_fb0_elicit_41.wav	cilya janet afumapo apo pene atendeka no kufwaya kalata	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201005-224141_bem_fb0_elicit_47.wav	fyalolela kasuba konse teti fimone isabi likatwemo nakalya fye	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201005-234215_bem_fb0_elicit_24.wav	bankalamo nabengile mukwai emo tuli	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200924-222234_bem_798_elicit_37.wav	ukuba ne cishinka kuli umo no munankwe	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200921-171929_bem_798_elicit_11.wav	ngacakuti iwe nangu umo uwo waishiba asangwa mubusanso landa naba kapokola nangu ubatumine pa zero zero zero	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200922-010446_bem_d31_elicit_15.wav	ngefyo mwamona ala mashiwi fye yakwa lesa eyakwata ubwasuko ku mepusho yonse ngayo yali pamulu	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200921-143443_bem_798_elicit_13.wav	ba kapokola mu calo ca australia bantu abasuma kabili abacetekelwa	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201004-110412_bem_798_elicit_37.wav	basuka babuceseshafye panse elyo bashimapepo na bambi baisa balongana akabungwe	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-023738_bem_798_elicit_20.wav	cilabushiku balafwaya ukumona icabulako pakuti bawamyepo	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-040939_bem_798_elicit_23.wav	insoselo sha ifi tashilingile ukufuma mu kanwa kesu	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200925-050356_bem_798_elicit_43.wav	kuti nabombela mu nshila imbi lelo ifingi twaibombele fye fwe bene	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201002-002057_bem_fb0_elicit_13.wav	kabili bayama nabo bali balefwaya ukunshimikilako nomba na mwishiba abakalamba bali balepita mumbali nshacumfwisha umo baciloshe	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201006-002050_bem_798_elicit_17.wav	abantu bonse basoweshafye abati	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-180101-134124_bem_d31_elicit_10.wav	nomba iwe tawanondolwelepo ifili fyonse	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200923-215451_bem_798_elicit_11.wav	nangula tukumana cila mulungu ilingi line twisafye pamo lelo te senge icine cine	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201006-005222_bem_798_elicit_35.wav	ati alolekeshe abene amona nabo bafwele mpapa nga ena	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200925-050356_bem_798_elicit_38.wav	nangu cibe ifyo ba munyinefwe ukufuma mu mpika balitutandalile pa nshiku shibili kabili balitwafwileko ne ndalama elyo na matafwali yakukuulila icilonganino	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201007-022920_bem_798_elicit_26.wav	no musango aendelemo ukwisa ku blueville	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200917-132419_bem_d31_elicit_9.wav	muli ulu lupwa mwali abana baume cinekonse konse samwele atuminwe kukusuba umo pali aba	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200925-010537_bem_798_elicit_24.wav	elyo nefyo ndi mu mweo wandi ngo mwina kristu	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200918-110406_bem_798_elicit_55.wav	ningishiba ukuti ba katumbi naba katumba bantu ngaifwe bonse ne filubo balikwata apo bantu	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201001-100406_bem_798_elicit_17.wav	batata baita ing'anga	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200924-181036_bem_798_elicit_25.wav	ifi konaula inshita na maka	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201004-001734_bem_798_elicit_8.wav	ala bena baleti nalimo masange kanshi ni mfwa ya bantu	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200923-230549_bem_798_elicit_25.wav	nalimo kuti cakutendusha lelo iyi e milimo iyalengele dabidi ukusoselwe cisuma	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200918-090125_bem_d31_elicit_7.wav	nefyo ificitwa fya muntu fifwile ukuba	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200925-062606_bem_798_elicit_18.wav	ekutila nga cakuti kuli no kuba ukulongana kwa mikupe nelyo amasambilisho pa lukuta ululi lonse	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-141341_bem_798_elicit_9.wav	muli seka seka emufuma lila lila	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200925-053533_bem_798_elicit_2.wav	mukwai tatwatalile atushimpa icilonganino na cimbi mpakafye mu nineteen ninety nine ilyo intungulushi shimo muli ifwe shaile sambilila ifya kushimpa ifilonganino ku kasama	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200923-230549_bem_798_elicit_2.wav	iyoo aba bali mulalo wakwa lesa wa mweo	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200924-214522_bem_798_elicit_29.wav	cinshi cingamucincisha ukukwata isenge	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-180101-023548_bem_d31_elicit_35.wav	yesu amwene ukufina kwa bulwi bwali pantanshi yakwe elyo afwaile inshita ya kuba eka na lesa	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201004-110412_bem_798_elicit_22.wav	uyu muntu nga twali tumwipaye ala tatwakalukunte	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201006-093742_bem_fb0_elicit_1.wav	imbwa kale yaleikala mu mpanga pamo nge nama shimbi	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200930-150533_bem_fb0_elicit_34.wav	katwishi apo bambelamine	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201005-224141_bem_fb0_elicit_32.wav	nalyo lyayamba ukuipabula pa menshi	1
